customer_id,experiment_group,converted,revenue,loyalty_tier,device_type
1,Control,0,0.0,Bronze,mobile
2,Control,1,1141.71,Silver,mobile
3,Control,0,0.0,Silver,desktop
4,Control,0,0.0,Silver,desktop
5,Control,0,0.0,Silver,mobile
6,Control,0,0.0,Bronze,mobile
7,Control,0,0.0,Silver,mobile
8,Control,1,1239.75,Bronze,mobile
9,Variant_B,1,1378.23,Bronze,mobile
10,Control,0,0.0,Bronze,mobile
11,Variant_B,0,0.0,Bronze,desktop
12,Control,0,0.0,Bronze,mobile
13,Control,1,1653.7,Gold,mobile
14,Control,1,1979.64,Silver,mobile
15,Control,0,0.0,Bronze,mobile
16,Control,0,0.0,Silver,desktop
17,Variant_A,1,2237.44,Silver,mobile
18,Control,0,0.0,Silver,mobile
19,Control,1,2458.6000000000004,Silver,mobile
20,Variant_B,1,2613.87,Bronze,mobile
21,Control,1,3083.7599999999998,Bronze,mobile
22,Control,1,13364.96,Silver,mobile
23,Variant_B,1,1255.96,Silver,mobile
24,Control,0,0.0,Bronze,mobile
25,Control,1,8780.64,Silver,mobile
26,Control,1,1195.7,Bronze,mobile
27,Variant_B,0,0.0,Silver,mobile
28,Control,1,3200.22,Gold,mobile
29,Variant_A,1,13690.98,Silver,mobile
30,Variant_A,0,0.0,Bronze,mobile
31,Control,0,0.0,Platinum,mobile
32,Control,1,1602.72,Bronze,mobile
33,Control,1,137.7,Gold,mobile
34,Control,0,0.0,Bronze,mobile
35,Control,0,0.0,Gold,mobile
36,Control,1,0.0,Bronze,mobile
37,Variant_B,1,1309.66,Bronze,mobile
38,Control,0,0.0,Bronze,mobile
39,Control,0,0.0,Gold,desktop
40,Variant_A,0,0.0,Bronze,mobile
41,Control,1,11780.949999999999,Platinum,mobile
42,Control,0,0.0,Gold,mobile
43,Control,0,0.0,Bronze,desktop
44,Control,1,1868.22,Bronze,mobile
45,Control,0,0.0,Bronze,mobile
46,Control,1,12926.230000000001,Gold,mobile
47,Control,1,658.02,Bronze,mobile
48,Control,1,3593.52,Silver,mobile
49,Variant_B,1,979.75,Bronze,mobile
50,Variant_B,1,6941.17,Bronze,mobile
51,Control,1,885.15,Bronze,mobile
52,Variant_B,1,3595.8,Silver,mobile
